epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4915.47,1.36545,0.88177,0.00378,0.80317,0.80796,0.86136,0.54078,1.46661,0.68098,0.00599,0.00315572,0.00315572,0.00315572
77,4979.11,1.37838,0.88807,0.00376,0.8224,0.78473,0.8605,0.5481,1.46775,0.67715,0.00596,0.00303665,0.00303665,0.00303665
78,5042.56,1.38201,0.88512,0.00381,0.83385,0.80553,0.87144,0.56697,1.4458,0.64213,0.00581,0.00291897,0.00291897,0.00291897
79,5107.16,1.38401,0.86615,0.00377,0.79866,0.81945,0.86604,0.55831,1.44557,0.64352,0.00581,0.00280275,0.00280275,0.00280275
80,5171.71,1.38186,0.89409,0.00375,0.83795,0.83378,0.88656,0.57542,1.43567,0.63584,0.00583,0.00268806,0.00268806,0.00268806
81,5242.12,1.34933,0.83356,0.00374,0.81269,0.80308,0.86932,0.5675,1.44498,0.65279,0.00575,0.002575,0.002575,0.002575
82,5306.56,1.36921,0.86282,0.00364,0.78897,0.81769,0.87758,0.57959,1.41948,0.6425,0.00567,0.00246363,0.00246363,0.00246363
83,5370.21,1.35944,0.86584,0.00365,0.81034,0.83476,0.88551,0.5626,1.47174,0.66217,0.00592,0.00235404,0.00235404,0.00235404
84,5434.13,1.3647,0.85218,0.00367,0.82099,0.83499,0.88896,0.57922,1.42722,0.64209,0.00568,0.00224629,0.00224629,0.00224629
85,5498.41,1.34822,0.85223,0.00371,0.87413,0.81157,0.88538,0.58132,1.41534,0.62731,0.00559,0.00214046,0.00214046,0.00214046
86,5562.4,1.36249,0.83746,0.00368,0.84612,0.82311,0.8912,0.59252,1.39629,0.60301,0.0056,0.00203663,0.00203663,0.00203663
87,5626.36,1.35239,0.81262,0.00359,0.82386,0.856,0.89844,0.57739,1.44435,0.60051,0.00588,0.00193486,0.00193486,0.00193486
88,5690.75,1.33228,0.79867,0.00356,0.85219,0.83278,0.89946,0.58621,1.4271,0.59987,0.00576,0.00183523,0.00183523,0.00183523
89,5754.35,1.34331,0.82866,0.00374,0.83175,0.87242,0.90854,0.61201,1.36382,0.57542,0.00547,0.0017378,0.0017378,0.0017378
