epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1205.72,1.09091,0.44154,0.00446,0.88909,0.74006,0.81233,0.52043,1.28669,0.61926,0.00641,0.0004456,0.0004456,0.0004456
58,1226.77,1.11239,0.45901,0.00472,0.92909,0.72651,0.80544,0.52746,1.25392,0.60306,0.0062,0.0004357,0.0004357,0.0004357
59,1247.85,1.09478,0.45535,0.00453,0.88473,0.74407,0.80398,0.53836,1.25457,0.58196,0.00618,0.0004258,0.0004258,0.0004258
60,1269.04,1.09442,0.44473,0.0044,0.83968,0.7601,0.8029,0.52348,1.2753,0.58012,0.00631,0.0004159,0.0004159,0.0004159
61,1292.05,1.09872,0.46013,0.00424,0.92796,0.73769,0.81499,0.53871,1.27376,0.61559,0.00636,0.000406,0.000406,0.000406
62,1315.16,1.06963,0.44557,0.00432,0.84643,0.76278,0.79809,0.51633,1.28064,0.64002,0.00626,0.0003961,0.0003961,0.0003961
63,1338.39,1.06639,0.45072,0.00415,0.87249,0.73265,0.8045,0.52014,1.28067,0.60989,0.00629,0.0003862,0.0003862,0.0003862
64,1361.6,1.07606,0.45042,0.0044,0.8997,0.71397,0.82256,0.5309,1.27747,0.59676,0.00624,0.0003763,0.0003763,0.0003763
65,1384.7,1.04185,0.44329,0.00435,0.83375,0.72261,0.79391,0.52242,1.29036,0.58425,0.00635,0.0003664,0.0003664,0.0003664
66,1407.9,1.07853,0.4754,0.00415,0.92997,0.71185,0.81858,0.51772,1.31381,0.61638,0.00657,0.0003565,0.0003565,0.0003565
67,1431.02,1.0359,0.4312,0.00437,0.91431,0.7447,0.83957,0.54943,1.24492,0.56938,0.00622,0.0003466,0.0003466,0.0003466
68,1454.31,1.03265,0.42493,0.00417,0.88808,0.7355,0.84624,0.54601,1.25112,0.57329,0.00619,0.0003367,0.0003367,0.0003367
69,1477.35,1.03445,0.42069,0.00396,0.85127,0.76208,0.83291,0.53843,1.30744,0.57434,0.00644,0.0003268,0.0003268,0.0003268
70,1500.31,1.04794,0.42057,0.00407,0.91816,0.72794,0.84063,0.54491,1.25937,0.60688,0.00613,0.0003169,0.0003169,0.0003169
71,1523.3,1.02314,0.42185,0.00426,0.88713,0.7623,0.84315,0.55227,1.2405,0.55694,0.00607,0.000307,0.000307,0.000307
72,1546.41,0.96761,0.39482,0.00419,0.93176,0.72721,0.8411,0.55524,1.24286,0.55949,0.00604,0.0002971,0.0002971,0.0002971
73,1569.46,0.99721,0.39992,0.00406,0.91423,0.74184,0.83053,0.54409,1.26723,0.5613,0.00633,0.0002872,0.0002872,0.0002872
74,1592.33,0.96804,0.39175,0.00397,0.93415,0.73922,0.83816,0.55449,1.26018,0.56681,0.00625,0.0002773,0.0002773,0.0002773
75,1615.23,1.03183,0.40955,0.00415,0.93164,0.72959,0.84009,0.5605,1.26603,0.59591,0.00625,0.0002674,0.0002674,0.0002674
76,1638.23,0.99649,0.3978,0.00403,0.84246,0.76795,0.83337,0.55713,1.24594,0.59294,0.00612,0.0002575,0.0002575,0.0002575
77,1661.1,0.96376,0.40068,0.00381,0.91353,0.73178,0.83426,0.55349,1.27098,0.58833,0.00613,0.0002476,0.0002476,0.0002476
78,1683.94,0.94137,0.36374,0.00392,0.91725,0.71611,0.83736,0.5492,1.26415,0.57382,0.00613,0.0002377,0.0002377,0.0002377
79,1706.9,0.95662,0.36663,0.00395,0.91883,0.72481,0.82886,0.52315,1.31231,0.56515,0.00641,0.0002278,0.0002278,0.0002278
80,1729.81,0.93082,0.37017,0.00397,0.91046,0.7263,0.81504,0.53445,1.27778,0.57291,0.0063,0.0002179,0.0002179,0.0002179
81,1752.79,1.02472,0.40574,0.00366,0.89394,0.74629,0.82066,0.53207,1.28841,0.58059,0.00639,0.000208,0.000208,0.000208
